col_a,col_b,pearson_r
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW4_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.9974127622155453
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,CW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.9885026878764517
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW1_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.9958102544192147
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW2_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.998600132214292
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.9939083445856862
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,CW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.9893446702665679
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW3_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.9960289043144307
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW4_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.9969933836429956
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,CW1_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.9835059816064177
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW4_PNEUMATIC_BRAKING_FORCE_BOGIE1,0.995491810486477
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW1_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.9909057700324839
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.9976409690205899
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW3_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,0.9972880675204686
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW2_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.9955030136407782
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW4_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.9952014613831649
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,CW2_PNEUMATIC_BRAKING_FORCE_BOGIE2,0.9837305015049347
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1,MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE2,0.9977283733326087
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,MW4_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.9963047752492556
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,MW2_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.9926760235120691
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,MW3_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.9938659737006975
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,MW1_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.9891498559762483
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,MW1_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.9933214345950058
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,CW1_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.9801025679872042
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,MW2_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.9931043962767688
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1,CW2_BRAKE_CYLINDER_PRESSURE_BOGIE2,0.9818836807204324
CW1_BRAKE_CYLINDER_PRESSURE_BOGIE1,CW2_BRAKE_CYLINDER_PRESSURE_BOGIE1,0.9976035366146813
MW4_SPRING_BRAKE_PRESSURE_BOGIE2,MW2_SPRING_BRAKE_PRESSURE_BOGIE2,0.9920558999954467
MW4_SPRING_BRAKE_PRESSURE_BOGIE2,MW3_SPRING_BRAKE_PRESSURE_BOGIE1,0.9962118522733151
MW4_SPRING_BRAKE_PRESSURE_BOGIE2,MW4_SPRING_BRAKE_PRESSURE_BOGIE1,0.9987016904735585
