feature,importance
acceleration__mean,0.0730292871269488
TRAIN_SPEED_ACTUAL__mean,0.07286087157293535
acceleration__max,0.06538360988885387
TRAIN_SPEED_ACTUAL__std,0.060248647163073585
acceleration__min,0.05765802389058592
TRAIN_SPEED_ACTUAL__max,0.05604967941282411
velocity_change_rate__mean,0.05233458382423497
TRAIN_SPEED_ACTUAL__min,0.048625067686473046
MW2_PNEUMATIC_BRAKING_FORCE_BOGIE2__mean,0.04142380836522666
CW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__mean,0.037254938658988206
CW2_PNEUMATIC_BRAKING_FORCE_BOGIE2__mean,0.03259893263724443
jerk__mean,0.024116722534804406
CW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1__mean,0.023114050594475754
velocity_change_rate__std,0.02282557471302676
MW4_PNEUMATIC_BRAKING_FORCE_BOGIE2__mean,0.020719657805314626
acceleration__std,0.018322373176812998
CW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__mean,0.01619836496105595
MW1_PNEUMATIC_BRAKING_FORCE_BOGIE2__mean,0.014319109224825328
CW1_PNEUMATIC_BRAKING_FORCE_BOGIE2__mean,0.0123236230547861
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__mean,0.011661504512079203
MW3_PROPORTIONAL_VALVE_PRESSURE_BOGIE1__mean,0.011528758759639603
MW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__mean,0.011272942872189278
MW4_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__mean,0.010316870255836108
jerk__std,0.00961465823577626
CW2_PNEUMATIC_BRAKING_FORCE_BOGIE1__mean,0.009304308186848565
MW4_PNEUMATIC_BRAKING_FORCE_BOGIE1__mean,0.008820120157285121
CW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE1__mean,0.008554740052229726
MW3_PNEUMATIC_BRAKING_FORCE_BOGIE1__mean,0.006993268624681939
MW2_SPRING_BRAKE_PRESSURE_BOGIE2__std,0.006342963413098054
CW1_PNEUMATIC_BRAKING_FORCE_BOGIE1__mean,0.006282433185266304
MW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE1__mean,0.005234407705673041
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1__mean,0.005182471820799541
CW1_BRAKE_CYLINDER_PRESSURE_BOGIE1__mean,0.005128177223392539
MW3_SPRING_BRAKE_PRESSURE_BOGIE1__std,0.0051244564477283825
MW1_PNEUMATIC_BRAKING_FORCE_BOGIE1__mean,0.004923254974671806
MW4_PROPORTIONAL_VALVE_PRESSURE_BOGIE1__mean,0.004639863574445614
MW2_SPRING_BRAKE_PRESSURE_BOGIE1__std,0.0042700176795823505
CW1_BRAKE_CYLINDER_PRESSURE_BOGIE2__mean,0.0040825818767323665
MW1_SPRING_BRAKE_PRESSURE_BOGIE1__std,0.003626250077293403
MW2_LOAD_PRESSURE_BOGIE2__std,0.0034387105423443576
MW4_SPRING_BRAKE_PRESSURE_BOGIE1__std,0.003114744792317097
MW3_PNEUMATIC_BRAKING_FORCE_BOGIE2__mean,0.003100853899312331
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__std,0.002920721424919454
MW4_SPRING_BRAKE_PRESSURE_BOGIE2__std,0.002693756667573647
MW1_SPRING_BRAKE_PRESSURE_BOGIE2__std,0.0025600082293127644
