feature,level,sensor_group,role,predictor_eligible,note
window_start,window,OTHER,other,False,
window_end,window,OTHER,other,False,
n_rows,window,OTHER,other,False,
MW2_PROPORTIONAL_VALVE_PRESSURE_BOGIE1__mean,window,PROPORTIONAL_VALVE,actuation,True,
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE1__mean,window,BRAKE_CYLINDER,actuation,True,
CW1_BRAKE_CYLINDER_PRESSURE_BOGIE1__mean,window,BRAKE_CYLINDER,actuation,True,
MW4_SPRING_BRAKE_PRESSURE_BOGIE2__mean,window,SPRING_BRAKE,actuation,True,
MW3_SPRING_BRAKE_PRESSURE_BOGIE2__mean,window,SPRING_BRAKE,actuation,True,
MW4_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__mean,window,PROPORTIONAL_VALVE,actuation,True,
MW1_SPRING_BRAKE_PRESSURE_BOGIE2__mean,window,SPRING_BRAKE,actuation,True,
MW2_LOAD_PRESSURE_BOGIE2__mean,window,LOAD_PRESSURE,auxiliary,True,
MW2_SPRING_BRAKE_PRESSURE_BOGIE2__mean,window,SPRING_BRAKE,actuation,True,
MW3_SPRING_BRAKE_PRESSURE_BOGIE1__mean,window,SPRING_BRAKE,actuation,True,
MW4_LOAD_PRESSURE_BOGIE1__mean,window,LOAD_PRESSURE,auxiliary,True,
MW3_PNEUMATIC_BRAKING_FORCE_BOGIE2__mean,window,PNEUMATIC_BRAKING_FORCE,actuation,True,
CW1_SPRING_BRAKE_PRESSURE_BOGIE2__mean,window,SPRING_BRAKE,actuation,True,
CW2_LOAD_PRESSURE_BOGIE1__mean,window,LOAD_PRESSURE,auxiliary,True,
MW4_BRAKE_CYLINDER_PRESSURE_BOGIE2__mean,window,BRAKE_CYLINDER,actuation,True,
CW1_MAIN_RESERVOIR_PRESSURE__mean,window,MAIN_RESERVOIR,auxiliary,True,
CW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__mean,window,PROPORTIONAL_VALVE,actuation,True,
MW1_PNEUMATIC_BRAKING_FORCE_BOGIE1__mean,window,PNEUMATIC_BRAKING_FORCE,actuation,True,
MW2_PNEUMATIC_BRAKING_FORCE_BOGIE1__mean,window,PNEUMATIC_BRAKING_FORCE,actuation,True,
CW2_MAIN_RESERVOIR_PRESSURE__mean,window,MAIN_RESERVOIR,auxiliary,True,
MW1_PROPORTIONAL_VALVE_PRESSURE_BOGIE2__mean,window,PROPORTIONAL_VALVE,actuation,True,
MW2_BRAKE_CYLINDER_PRESSURE_BOGIE2__mean,window,BRAKE_CYLINDER,actuation,True,
