interval_start,interval_end,kind,duration_days,n_events,total_energy,contains_brake_failure
2024-06-01 05:00:50,2024-07-02 07:04:01,bookend_start,31.085543981481482,18005,4936.25361892332,True
2024-07-02 22:21:47,2024-08-27 14:31:21,between,55.67331018518519,24818,7410.462898325022,True
2024-08-29 22:50:11,2024-08-30 07:13:30,between,0.34952546296296294,0,0.0,False
2024-08-30 23:59:59,2024-09-23 05:15:24,between,23.21903935185185,11954,2661.153916126932,True
2024-09-23 23:59:59,2024-10-20 01:59:05,between,26.082708333333333,13709,3548.7135291748473,True
2024-10-20 22:57:24,2024-10-24 07:55:18,between,3.3735416666666667,2,0.06935721398804162,False
2024-10-24 23:59:59,2024-10-31 07:12:23,between,6.300277777777778,3108,644.5736192085405,False
2024-10-31 23:59:59,2024-11-05 00:21:33,between,4.014976851851852,2264,465.0996660868259,False
2024-11-09 23:59:59,2024-11-28 01:06:57,between,18.04650462962963,10273,3025.0824356789963,False
2024-11-28 23:59:59,2024-12-29 01:09:05,between,30.04798611111111,16162,4836.736892489762,True
2024-12-29 15:09:33,2025-01-17 10:26:47,between,18.80363425925926,9858,1943.6027456740248,False
2025-01-17 10:36:46,2025-02-11 23:59:30,bookend_end,25.557453703703704,12143,3337.64836156156,True
