variable,value,n,median_velocity,median_brake_pressure
TRAIN_MANUAL_MODE,0.0,681386,0.0003719329833984375,0.00482177734375
TRAIN_MANUAL_MODE,1.0,35622,0.08548736572265625,0.0051930746994912624
TRAIN_EMERGENCY_MODE,0.0,717008,0.001316070556640625,0.0048421225510537624
TRAIN_AUTOMATIC_MODE,0.0,342694,0.0,0.2667032778263092
TRAIN_AUTOMATIC_MODE,1.0,374314,0.5015087127685547,0.0041402182541787624
TRAIN_BRAKE_SIGNAL,0.0,520675,0.31188011169433594,0.0044911704026162624
TRAIN_BRAKE_SIGNAL,1.0,196333,0.0,0.506439208984375
TRAIN_LINE,1.0,399804,0.00457763671875,0.0045878090895712376
TRAIN_LINE,2.0,11,0.020799636840820312,0.0028839111328125
TRAIN_LINE,3.0,66445,0.07430076599121094,0.0039621987380087376
TRAIN_LINE,4.0,243007,0.0,0.0049845376051962376
TRAIN_CURRENT_SECTION,1.0,12603,0.0,0.2664540708065033
TRAIN_CURRENT_SECTION,2.0,4291,0.2997779846191406,0.00421142578125
TRAIN_CURRENT_SECTION,3.0,7311,0.29388427734375,0.0044047036208212376
TRAIN_CURRENT_SECTION,4.0,9939,0.0,0.0047149658203125
TRAIN_CURRENT_SECTION,5.0,5114,0.3618335723876953,0.0043131508864462376
TRAIN_CURRENT_SECTION,6.0,5225,0.1561260223388672,0.0045216879807412624
TRAIN_CURRENT_SECTION,7.0,5509,0.475616455078125,0.0043792724609375
TRAIN_CURRENT_SECTION,8.0,5912,0.3023815155029297,0.00445556640625
TRAIN_CURRENT_SECTION,9.0,5840,0.43799400329589844,0.0043131508864462376
TRAIN_CURRENT_SECTION,10.0,6168,0.3169727325439453,0.0045115151442587376
TRAIN_CURRENT_SECTION,11.0,5348,0.2084827423095703,0.0044097900390625
TRAIN_CURRENT_SECTION,12.0,7034,0.19507884979248047,0.0045115151442587376
TRAIN_CURRENT_SECTION,13.0,5912,0.4125022888183594,0.004241943359375
TRAIN_CURRENT_SECTION,14.0,6720,0.2528715133666992,0.0043131508864462376
TRAIN_CURRENT_SECTION,15.0,7278,0.5402612686157227,0.004241943359375
TRAIN_CURRENT_SECTION,16.0,5090,0.35857200622558594,0.004315693862736225
TRAIN_CURRENT_SECTION,17.0,6527,0.4144763946533203,0.0043131508864462376
TRAIN_CURRENT_SECTION,18.0,8634,0.32814502716064453,0.00421142578125
TRAIN_CURRENT_SECTION,19.0,4783,0.5401325225830078,0.0042724609375
TRAIN_CURRENT_SECTION,20.0,6862,0.44211387634277344,0.0042775473557412624
TRAIN_CURRENT_SECTION,21.0,5593,0.38626670837402344,0.0042826333083212376
TRAIN_CURRENT_SECTION,22.0,6066,0.4785346984863281,0.0043131508864462376
TRAIN_CURRENT_SECTION,23.0,7648,0.32900333404541016,0.0043080649338662624
TRAIN_CURRENT_SECTION,24.0,34635,0.0,0.5061543583869934
TRAIN_CURRENT_SECTION,25.0,36548,0.0,0.266632080078125
TRAIN_CURRENT_SECTION,26.0,11362,0.0,0.2661794126033783
TRAIN_CURRENT_SECTION,27.0,6251,0.4722118377685547,0.0041707358323037624
TRAIN_CURRENT_SECTION,28.0,5318,0.3605175018310547,0.0042775473557412624
TRAIN_CURRENT_SECTION,29.0,6432,0.49179553985595703,0.00431060791015625
