event_class,type,start,window_h,n_pre,chi2,p_value,cramers_v,standing_frac,standing_delta,n_pre_moving,chi2_moving,p_value_moving,cramers_v_moving
failure,Brake System Failure,2024-06-27 15:47:30,24,6012,464.38642521315126,2.489321829672995e-100,0.017615707544268153,0.6202594810379242,0.13907032064377378,2283.0,0.7295549727016541,0.6943511362949288,0.0009698817560908966
failure,Brake System Failure,2024-06-27 15:47:30,48,13593,953.7405761348127,1.949733012732985e-206,0.02518130410974569,0.6141396306922681,0.13295047029811768,5245.0,0.2318740717177633,0.8905312930702687,0.0005457429561692039
failure,Brake System Failure,2024-06-27 15:47:30,72,18951,1002.6922322714621,4.68926317933085e-217,0.025773580001617565,0.5968022795630837,0.11561311916893335,7641.0,1.2535459674974068,0.53431325949743,0.001266965861148404
failure,Brake System Failure,2024-08-19 10:37:51,24,3502,42.63059378357423,2.9480571199809226e-09,0.005341774339216887,0.4351798972015991,-0.046009263192551275,1978.0,11.950436980034423,0.002540946854592728,0.003926151773929886
failure,Brake System Failure,2024-08-19 10:37:51,48,11384,2162.7077819074616,0.0,0.03794732439388546,0.699051300070274,0.21786213967612367,3426.0,26.11277949800946,2.1363970933786444e-06,0.005798244747823532
failure,Brake System Failure,2024-08-19 10:37:51,72,19254,1661.7984591219993,0.0,0.03317695418104343,0.6269866001869742,0.14579743979282378,7182.0,60.34041213674706,7.893070585968959e-14,0.008792787662084023
failure,Leveling System Failure,2024-08-27 15:58:43,24,553,595.9978698068572,7.430126933200366e-129,0.019992921013501985,1.0,0.5188108396058496,,,,
failure,Leveling System Failure,2024-08-27 15:58:43,48,674,726.3425859475723,4.0721051229530414e-157,0.022070238656578867,1.0,0.5188108396058496,,,,
failure,Leveling System Failure,2024-08-27 15:58:43,72,674,726.3425859475723,4.0721051229530414e-157,0.022070238656578867,1.0,0.5188108396058496,,,,
failure,Brake System Failure,2024-09-03 05:04:00,24,6741,17.46995698134022,0.000565643053365769,0.0034158634181092637,0.4791573950452455,-0.002031765348904868,3511.0,17.291885346585982,0.00017583883840760513,0.004718102849727249
