failure,failure_type,prior_maint_end,energy_since_maintenance,n_events_since_maintenance,days_since_maintenance
2024-06-27 15:47:30,Brake System Failure,2024-06-01 05:00:50,4182.829789365087,15591,26.449074074074073
2024-08-19 10:37:51,Brake System Failure,2024-07-02 22:21:47,7410.462898325022,24818,47.51115740740741
2024-08-27 15:58:43,Leveling System Failure,2024-07-02 22:21:47,7410.462898325022,24818,55.73398148148148
2024-09-03 05:04:00,Brake System Failure,2024-08-30 23:59:59,334.10466123718834,1480,3.211122685185185
2024-09-22 05:49:43,Brake System Failure,2024-08-30 23:59:59,2661.052677855969,11950,22.24287037037037
2024-10-06 02:04:15,Brake System Failure,2024-09-23 23:59:59,2221.4519860749533,7351,12.086296296296297
2024-10-10 11:19:48,Brake System Failure,2024-09-23 23:59:59,2359.2422678857474,8033,16.472094907407406
2024-10-31 15:08:06,Compressor Module Failure,2024-10-24 23:59:59,644.5921635533523,3109,6.6306365740740745
2024-12-14 18:56:40,Brake System Failure,2024-11-28 23:59:59,2722.2354052024,8996,15.789363425925925
2025-01-21 06:11:15,Brake System Failure,2025-01-17 10:36:46,423.98537523845334,1449,3.815613425925926
